yp,Aaloo Parantha Combo,Agua Embotellada,Alto,Arroz Basmati,Bajo,Butter Chicken,Butter Naan,Cerveza,Chai,Chana Masala,Chana Masala Combo,Chicken Biryani - Chef´s Special,Chicken Curry,Chicken Curry Combo,Chicken Malai Tikka - Chef´s Special,Chicken Tikka,Chicken Tikka Masala,Coca Cola,Coca Cola Sin Azucar,Con ajo,Con mantequilla,Con queso,Costo Delivery,Dal Makhani,Dal Makhani Combo,Ensalada de Cebolla,Fresca,Gulab Jamun(2 pzas),Jeera Rice,Kadhai Chicken,Kadhai Paneer,Lachha Paratha,Malai Mushroom Tikka,Malai Paneer Tikka,Mango Lassi,Mango Shake,Masala Lassi,Masala Shikanji Mineral,Masala Shikanji Natural,Masala Shikhanji,Medio,Mineral,Mixto de vegetales,Mutton Biryani,Mutton Rogan Josh,Mutton Seekh Kebab,Muy picante,Naan,Natural,Normal,Pakoda,Paneer ( Un queso de la India),Paneer Butter Masala,Paneer Makhani,Paneer Makhani Combo,Paneer Tikka,Pollo,Raita,Samosa,Sharbat,Sidral Mundet,Sin mantequilla,Sprite,Tandoori Roti.,Vegetable Biryani
Masala Shikhanji,0,0.095890411,0.021097046,0.063200815,0.031437126,0.060693642,0,0.181818182,0.226086957,0.090032154,0.047297297,0.056511057,0.062295082,0.033407572,0.148148148,0.096385542,0.102514507,0.081081081,0.161616162,0.084401709,0.071090047,0.072796935,0,0.110701107,0.023529412,0.03030303,0.1875,0.155440415,0.095477387,0.092105263,0.057803468,0.102941176,0.203389831,0.142857143,0.12254902,0.088888889,0.161904762,0.028248588,0.026785714,1,0.077432164,1,0.192307692,0.056603774,0.114695341,0.169642857,0.070588235,0.060740741,1,0.106995885,0.181818182,0.135135135,0,0.062146893,0.031007752,0.111111111,0.173913043,0.091549296,0.072614108,0.096997691,0.2,0.061881188,0.097560976,0.08490566,0.073732719
Medio,1,0.561643836,0.147679325,0.383282365,0.112275449,0.264932563,0.5,0.797979798,0.67826087,0.678456592,0.648648649,0.601965602,0.626229508,0.585746102,0.50617284,0.46184739,0.675048356,0.594594595,0.626262626,0.527777778,0.469194313,0.45210728,0.5,0.516605166,0.282352941,0.515151515,0.625,0.497409326,0.497487437,0.684210526,0.621387283,0.535294118,0.576271186,0.514285714,0.536764706,0.533333333,0.666666667,0.471751412,0.4375,0.680232558,1,0.701986755,0.638461538,0.572327044,0.738351254,0.526785714,0.435294118,0.449382716,0.551724138,0.49382716,0.588235294,0.459459459,1,0.271186441,0.333333333,0.544444444,0.434782609,0.549295775,0.475103734,0.584295612,0.6,0.403465347,0.487804878,0.5,0.69124424
Mineral,0,0.095890411,0.016877637,0.055045872,0.026946108,0.053949904,0,0.171717172,0.217391304,0.073954984,0.040540541,0.051597052,0.045901639,0.031180401,0.141975309,0.084337349,0.088974855,0.081081081,0.161616162,0.079059829,0.063981043,0.0651341,0,0.103321033,0.011764706,0.03030303,0.1875,0.134715026,0.08040201,0.078947368,0.054913295,0.094117647,0.186440678,0.142857143,0.110294118,0.077777778,0.152380952,0.028248588,0.017857143,0.877906977,0.070152217,1,0.169230769,0.056603774,0.103942652,0.160714286,0.058823529,0.054814815,0.275862069,0.098765432,0.165775401,0.135135135,0,0.056497175,0.023255814,0.111111111,0.173913043,0.070422535,0.06846473,0.090069284,0.2,0.056930693,0.097560976,0.080188679,0.069124424
Mixto de vegetales,0,0.054794521,0.03164557,0.038735984,0.02245509,0.031791908,0,0.090909091,0.12173913,0.045016077,0.054054054,0.024570025,0.019672131,0.053452116,0.061728395,0.052208835,0.042553191,0.081081081,0.090909091,0.050213675,0.045023697,0.068965517,0,0.070110701,0.011764706,0.090909091,0,0.082901554,0.060301508,0.065789474,0.057803468,0.064705882,0.06779661,0.142857143,0.080882353,0.011111111,0.133333333,0.036723164,0.080357143,0.145348837,0.05493051,0.145695364,1,0.031446541,0.064516129,0.071428571,0.082352941,0.042469136,0.172413793,0.04526749,0.695187166,0.054054054,0,0.011299435,0.100775194,0.055555556,0.043478261,0.056338028,0.041493776,0.076212471,0.066666667,0.02970297,0.097560976,0.054245283,0.059907834
Mutton Biryani,0,0.068493151,0.092827004,0.014271152,0.053892216,0.028901734,0,0.101010101,0.086956522,0.035369775,0.006756757,0.027027027,0.02295082,0.013363029,0.061728395,0.076305221,0.032882012,0.081081081,0.080808081,0.041666667,0.034755134,0.034482759,0,0.036900369,0.023529412,0.121212121,0.0625,0.113989637,0.025125628,0.039473684,0.037572254,0.058823529,0.06779661,0.028571429,0.075980392,0.044444444,0.085714286,0.008474576,0,0.052325581,0.060225017,0.059602649,0.038461538,1,0.053763441,0.0625,0.129411765,0.034567901,0.034482759,0.053497942,0.053475936,0.054054054,1,0.011299435,0.007751938,0.066666667,0.130434783,0.077464789,0.049792531,0.034642032,0.2,0.034653465,0.048780488,0.028301887,0.041474654
Mutton Rogan Josh,0.5,0.232876712,0.126582278,0.123343527,0.077844311,0.065510597,0,0.232323232,0.165217391,0.067524116,0.047297297,0.071253071,0.072131148,0.042316258,0.160493827,0.136546185,0.088974855,0.148648649,0.181818182,0.152777778,0.085308057,0.099616858,0,0.088560886,0.023529412,0.121212121,0.0625,0.18134715,0.130653266,0.164473684,0.054913295,0.111764706,0.169491525,0.2,0.166666667,0.066666667,0.114285714,0.031073446,0.0625,0.186046512,0.136333554,0.19205298,0.138461538,0.094339623,1,0.1875,0.105882353,0.102222222,0.137931034,0.152263374,0.160427807,0.216216216,1,0.04519774,0.015503876,0.211111111,0.173913043,0.169014085,0.093360996,0.071593533,0.333333333,0.071782178,0.243902439,0.070754717,0.082949309
Mutton Seekh Kebab,0,0.068493151,0.023206751,0.036697248,0.025449102,0.031791908,0,0.090909091,0.060869565,0.035369775,0.006756757,0.036855037,0.026229508,0.026726058,0.104938272,0.084337349,0.042553191,0.040540541,0.04040404,0.048076923,0.045023697,0.042145594,0,0.040590406,0.047058824,0.03030303,0.0625,0.07253886,0.045226131,0.039473684,0.040462428,0.088235294,0.084745763,0.085714286,0.051470588,0.055555556,0.076190476,0.028248588,0.026785714,0.110465116,0.039046989,0.119205298,0.061538462,0.044025157,0.075268817,1,0.082352941,0.038518519,0.068965517,0.082304527,0.058823529,0.054054054,1,0.062146893,0.054263566,0.111111111,0.043478261,0.035211268,0.053941909,0.03926097,0.066666667,0.034653465,0.12195122,0.04009434,0.046082949
Muy picante,0,0.02739726,0.069620253,0.028542304,0.002994012,0.013487476,0,0.04040404,0.052173913,0.022508039,0.006756757,0.027027027,0.016393443,0.002227171,0.030864198,0.269076305,0.021276596,0.047297297,0.060606061,0.027777778,0.023696682,0.007662835,0,0.025830258,0.011764706,0.212121212,0,0.03626943,0.030150754,0.052631579,0.052023121,0.044117647,0.033898305,0.114285714,0.034313725,0.033333333,0.066666667,0.002824859,0,0.034883721,0.024487095,0.033112583,0.053846154,0.06918239,0.032258065,0.0625,1,0.022716049,0.034482759,0.024691358,0.048128342,0.054054054,0,0.02259887,0,0.255555556,0,0.021126761,0.037344398,0.011547344,0.066666667,0.02970297,0.048780488,0.037735849,0.050691244
Naan,0.5,0.698630137,0.533755274,0.701325178,0.598802395,0.76300578,0,0.808080808,0.582608696,0.675241158,0.574324324,0.452088452,0.642622951,0.559020045,0.685185185,0.590361446,0.796905222,0.756756757,0.808080808,1,0.7835703,1,0.25,0.656826568,0.458823529,0.666666667,0.875,0.663212435,0.64321608,0.644736842,0.63583815,0.517647059,0.677966102,0.6,0.772058824,0.622222222,0.6,0.548022599,0.464285714,0.715116279,0.602250165,0.735099338,0.661538462,0.440251572,0.741935484,0.696428571,0.541176471,1,0.620689655,0.609053498,0.679144385,0.72972973,1,0.711864407,0.558139535,0.588888889,0.652173913,0.669014085,0.670124481,0.632794457,0.866666667,0.680693069,0.756097561,0.382075472,0.506912442
Natural,0,0,0.004219409,0.01019368,0.005988024,0.009633911,0,0.03030303,0.008695652,0.01607717,0.006756757,0.007371007,0.019672131,0.002227171,0.018518519,0.012048193,0.023210832,0,0,0.010683761,0.010268562,0.011494253,0,0.011070111,0.011764706,0,0,0.020725389,0.015075377,0.013157895,0.002890173,0.014705882,0.050847458,0,0.019607843,0.011111111,0.00952381,0,0.008928571,0.168604651,0.010589014,0.052980132,0.038461538,0.006289308,0.014336918,0.017857143,0.011764706,0.008888889,1,0.020576132,0.026737968,0,0,0.005649718,0.007751938,0.033333333,0,0.021126761,0.006224066,0.013856813,0,0.012376238,0,0.011792453,0.013824885
Normal,0,0.150684932,0.023206751,0.070336391,0.055389222,0.070327553,0,0.242424242,0.086956522,0.080385852,0.054054054,0.071253071,0.059016393,0.028953229,0.160493827,0.751004016,0.077369439,0.074324324,0.121212121,0.085470085,0.089257504,0.099616858,0,0.136531365,0.058823529,0.181818182,0.1875,0.098445596,0.090452261,0.092105263,0.052023121,0.15,0.203389831,0.142857143,0.12254902,0.055555556,0.104761905,0.039548023,0.026785714,0.151162791,0.079417604,0.158940397,0.084615385,0.081761006,0.132616487,0.178571429,0.070588235,0.07308642,0.172413793,1,0.096256684,0.135135135,0,0.084745763,0.031007752,0.777777778,0.086956522,0.091549296,0.109958506,0.071593533,0.266666667,0.106435644,0.170731707,0.096698113,0.092165899
Pakoda,0,0.109589041,0.054852321,0.057084608,0.041916168,0.049132948,0,0.161616162,0.156521739,0.061093248,0.067567568,0.039312039,0.055737705,0.075723831,0.080246914,0.076305221,0.067698259,0.108108108,0.141414141,0.080128205,0.065560821,0.107279693,0,0.084870849,0.035294118,0.090909091,0,0.113989637,0.090452261,0.092105263,0.072254335,0.094117647,0.118644068,0.171428571,0.12254902,0.044444444,0.152380952,0.056497175,0.080357143,0.197674419,0.072799471,0.205298013,1,0.062893082,0.107526882,0.098214286,0.105882353,0.062716049,0.172413793,0.074074074,1,1,0,0.033898305,0.11627907,0.1,1,0.091549296,0.058091286,0.113163972,0.2,0.054455446,0.195121951,0.077830189,0.082949309
Paneer ( Un queso de la India),0,0.02739726,0.012658228,0.012232416,0.008982036,0.00867052,0,0.03030303,0.026086957,0.01607717,0.013513514,0.007371007,0.019672131,0.0155902,0.012345679,0.020080321,0.015473888,0.02027027,0.03030303,0.020299145,0.010268562,0.030651341,0,0.011070111,0.023529412,0,0,0.020725389,0.025125628,0.013157895,0.005780347,0.014705882,0.016949153,0.028571429,0.031862745,0.011111111,0.019047619,0.014124294,0,0.029069767,0.011250827,0.033112583,0.015384615,0.012578616,0.028673835,0.017857143,0.023529412,0.013333333,0,0.020576132,0.197860963,1,0,0.02259887,0.007751938,0.022222222,0,0.021126761,0.018672199,0.025404157,0.066666667,0.014851485,0.048780488,0.018867925,0.013824885
Paneer Butter Masala,0,0.01369863,0,0,0,0.000963391,0,0,0,0,0,0,0,0,0.00617284,0,0,0.006756757,0,0.001068376,0.000789889,0,0,0.003690037,0.011764706,0,0,0,0,0,0,0.002941176,0,0,0,0,0,0.002824859,0,0,0.000661813,0,0,0.006289308,0.003584229,0.008928571,0,0.000493827,0,0,0,0,1,0,0,0,0,0,0.002074689,0,0,0,0,0,0
